"","id_i","druhK_opraveno","druhO_opraveno","pocet"
"731","22-8-17-10-23-69","Leontodon_hispidus","Apis_mellifera",NA
"783","24-8-17-16-26-7","Centaurea_jacea","Apis_mellifera",NA
"3356","19-8-17-14-42-59","Centaurea_jacea","Apis_mellifera",NA
"4119","19-8-21-13-33-75","Centaurea_jacea","Apis_mellifera",NA
"4276","19-8-21-12-2-3","Centaurea_jacea","Apis_mellifera",NA
"6724","19-8-18-17-45-96","Centaurea_jacea","Bombus_lapidarius",NA
"7411","19-8-21-9-52-66","Centaurea_jacea","Bombus_lapidarius",NA
"8647","22-8-17-8-36-80","Trifolium_arvense","Bombus_pascuorum",NA
"8861","19-8-21-13-47-95","Centaurea_jacea","Bombus_pascuorum",NA
"8874","19-8-23-8-19-1","Centaurea_jacea","Bombus_pascuorum",NA
"9005","19-8-21-15-57-L7","Cirsium_palustre","Bombus_pascuorum",NA
"9073","22-8-18-17-46-11","Succisa_pratensis","Bombus_pascuorum",NA
"9210","19-8-22-9-15-91","Centaurea_jacea","Bombus_pascuorum",NA
"11352","24-8-18-7-40-1","Achillea_ptarmica","Calliphoridae",NA
"13074","19-8-22-7-47-L3","Succisa_pratensis","Calliphoridae",NA
"13096","15-8-20-17-47-18","Succisa_pratensis","Calliphoridae",NA
"22549","24-8-18-8-45-52","Achillea_ptarmica","Eristalis_tenax",NA
"22707","22-8-18-17-46-11","Succisa_pratensis","Eristalis_tenax",NA
"23522","22-8-18-17-48-13","Succisa_pratensis","Eristalis_tenax",NA
"24320","22-8-18-17-47-12","Succisa_pratensis","Eristalis_tenax",NA
"24386","22-8-18-17-48-13","Succisa_pratensis","Eristalis_tenax",NA
"24801","19-8-22-12-49-90","Centaurea_jacea","Formicidae",NA
"26283","22-8-18-17-48-13","Succisa_pratensis","Helophilus_hybridus",NA
"26508","22-8-18-17-47-12","Succisa_pratensis","Helophilus_pendulus",NA
"30397","23-8-20-9-13-L4","Achillea_ptarmica","Lycaenidae",NA
"31411","23-8-19-7-40-L4","Plantago_lanceolata","Melanostoma_mellinum",NA
"31501","19-8-22-8-18-73","Plantago_lanceolata","Melanostoma_mellinum",NA
"34490","22-8-17-8-36-80","Daucus_carota","Diptera_mm",NA
"35790","19-8-23-7-11-45","Achillea_ptarmica","Diptera_mm",NA
"36377","19-8-21-9-52-66","Achillea_millefolium","Diptera_mm",NA
"36784","24-8-17-9-37-85","Ranunculus_flammula","Diptera_mmm",NA
"37105","23-8-18-18-37-93","Ranunculus_acris","Diptera_mmm",NA
"37253","22-8-17-13-11-76","Selinum_carvifolia","Diptera_mmm",NA
"39476","16-8-24-14-26-83","Pimpinella_saxifraga","Muscidae",NA
"40091","23-8-18-11-46-11","nic","nic",NA
"40108","22-8-19-9-18-33","nic","nic",NA
"40117","23-8-15-10-24-7","nic","nic",NA
"40119","23-8-17-15-47-46","nic","nic",NA
"40120","19-8-22-10-50-98","nic","nic",NA
"40126","23-8-15-15-17-L1","nic","nic",NA
"40139","23-8-15-8-7-40","nic","nic",NA
"40173","23-8-19-7-36-L1","nic","nic",NA
"40178","24-8-17-0-45-73","nic","nic",NA
"40185","19-8-22-10-57-34","nic","nic",NA
"40263","19-8-21-10-10-75","nic","nic",NA
"40342","19-8-18-19-6-44","nic","nic",NA
"40349","24-8-17-18-58-3","nic","nic",NA
"40369","19-8-22-19-30-35","nic","nic",NA
"40370","24-8-17-6-20-2","nic","nic",NA
"40389","19-8-23-7-30-85","nic","nic",NA
"40391","19-8-18-14-0-L6","nic","nic",NA
"40395","24-8-17-6-52-21","nic","nic",NA
"40412","19-8-21-10-49-L4","nic","nic",NA
"40416","23-8-20-7-26-56","nic","nic",NA
"40488","23-8-15-8-6-38","nic","nic",NA
"40512","19-8-23-7-23-80","nic","nic",NA
"40515","19-8-23-7-29-84","nic","nic",NA
"40531","23-8-14-11-0-98","nic","nic",NA
"40539","22-8-18-8-34-41","nic","nic",NA
"40545","19-8-22-7-23-60","nic","nic",NA
"40576","19-8-18-18-55-35","nic","nic",NA
"40610","19-8-18-17-6-70","nic","nic",NA
"40612","19-8-21-9-45-L10","nic","nic",NA
"40616","19-8-21-9-49-64","nic","nic",NA
"40630","19-8-23-7-22-79","nic","nic",NA
"40632","19-8-21-10-18-81","nic","nic",NA
"40634","19-8-23-7-28-83","nic","nic",NA
"40640","23-8-14-14-39-L3","nic","nic",NA
"40660","23-8-20-7-23-54","nic","nic",NA
"40667","23-8-20-7-29-58","nic","nic",NA
"40681","24-8-17-8-41-L1","nic","nic",NA
"40721","22-8-19-9-30-41","nic","nic",NA
"40809","24-8-16-23-11-5","nic","nic",NA
"40837","19-8-22-10-11-51","nic","nic",NA
"40841","24-8-17-15-41-93","nic","nic",NA
"40847","23-8-19-12-41-72","nic","nic",NA
"40878","19-8-18-14-0-98","nic","nic",NA
"40890","24-8-17-7-3-28","nic","nic",NA
"40891","23-8-17-9-49-33","nic","nic",NA
"40907","19-8-20-14-49-34","nic","nic",NA
"40937","23-8-15-9-29-93","nic","nic",NA
"40946","23-8-15-9-41-L4","nic","nic",NA
"40947","19-8-18-19-1-38","nic","nic",NA
"40956","23-8-15-10-23-L3","nic","nic",NA
"40979","19-8-22-17-33-58","nic","nic",NA
"40990","19-8-21-10-11-76","nic","nic",NA
"40994","23-8-15-11-2-24","nic","nic",NA
"41013","23-8-18-19-20-37","nic","nic",NA
"41035","24-8-17-13-21-24","nic","nic",NA
"41044","19-8-21-12-26-L6","nic","nic",NA
"41050","23-8-15-12-15-71","nic","nic",NA
"41079","23-8-20-8-52-93","nic","nic",NA
"41091","24-8-17-15-50-86","nic","nic",NA
"41102","23-8-15-14-38-5","nic","nic",NA
"41104","23-8-15-14-39-L3","nic","nic",NA
"41117","19-8-23-7-21-78","nic","nic",NA
"41157","23-8-20-12-25-33","nic","nic",NA
"41204","24-8-17-15-35-98","nic","nic",NA
"41210","24-8-17-15-53-84","nic","nic",NA
"41213","24-8-17-0-39-46","nic","nic",NA
"41223","24-8-17-6-22-4","nic","nic",NA
"41252","23-8-16-8-45-55","nic","nic",NA
"41311","19-8-21-15-52-84","nic","nic",NA
"41330","24-8-17-0-33-39","nic","nic",NA
"41333","22-8-17-10-27-14","nic","nic",NA
"41355","23-8-15-10-56-22","nic","nic",NA
"41383","19-8-21-10-48-L5","nic","nic",NA
"41387","23-8-19-7-34-L2","nic","nic",NA
"41390","24-8-18-7-59-L9","nic","nic",NA
"41392","24-8-18-8-7-L2","nic","nic",NA
"41393","19-8-20-14-48-33","nic","nic",NA
"41501","23-8-16-17-2-38","nic","nic",NA
"41520","19-8-22-18-23-85","nic","nic",NA
"41541","22-8-17-16-44-27","nic","nic",NA
"41579","19-8-21-9-43-L6","nic","nic",NA
"41600","24-8-17-6-41-14","nic","nic",NA
"41637","24-8-18-16-2-57","nic","nic",NA
"41668","19-8-18-18-34-34","nic","nic",NA
"41696","24-8-18-18-15-L2","nic","nic",NA
"41702","19-8-21-9-37-L7","nic","nic",NA
"41731","24-8-18-7-16-17","nic","nic",NA
"41733","24-8-18-7-18-15","nic","nic",NA
"41734","19-8-21-10-25-87","nic","nic",NA
"41754","23-8-19-7-42-96","nic","nic",NA
"41794","19-8-21-16-4-41","nic","nic",NA
"41818","23-8-15-12-55-96","nic","nic",NA
"41879","19-8-22-8-58-2","nic","nic",NA
"41934","24-8-17-0-6-22","nic","nic",NA
"41963","22-8-19-9-46-54","nic","nic",NA
"42000","24-8-17-7-32-48","nic","nic",NA
"42004","19-8-22-10-48-25","nic","nic",NA
"42024","24-8-17-9-4-L5","nic","nic",NA
"42064","19-8-22-17-14-L6","nic","nic",NA
"42100","19-8-21-10-27-89","nic","nic",NA
"42105","19-8-21-10-30-92","nic","nic",NA
"42107","23-8-18-19-19-36","nic","nic",NA
"42119","19-8-20-14-47-29","nic","nic",NA
"42135","23-8-19-8-3-81","nic","nic",NA
"42138","19-8-21-12-23-94","nic","nic",NA
"42140","19-8-21-12-27-98","nic","nic",NA
"42183","19-8-22-19-15-20","nic","nic",NA
"42227","23-8-19-10-19-24","nic","nic",NA
"42233","19-8-23-8-5-L3","nic","nic",NA
"42241","19-8-23-8-14-L7","nic","nic",NA
"42246","19-8-23-8-27-4","nic","nic",NA
"42271","24-8-17-14-9-L5","nic","nic",NA
"42300","24-8-17-15-40-94","nic","nic",NA
"42350","19-8-21-13-23-63","nic","nic",NA
"42351","14-8-20-16-37-53","nic","nic","O"
"42376","19-8-18-18-30-96","nic","nic",NA
"42380","24-8-17-17-44-84","nic","nic",NA
"42405","19-8-21-15-48-98","nic","nic",NA
"42445","19-8-21-10-5-72","nic","nic",NA
"42467","19-8-17-15-8-72","nic","nic",NA
"42493","24-8-18-8-37-47","nic","nic",NA
"42528","23-8-20-8-20-80","nic","nic",NA
"42537","19-8-21-10-19-35","nic","nic",NA
"42564","19-8-22-14-12-1","nic","nic",NA
"42582","19-8-21-11-4-79","nic","nic",NA
"42583","19-8-21-11-5-80","nic","nic",NA
"42646","23-8-20-12-55-53","nic","nic",NA
"42649","19-8-22-10-5-44","nic","nic",NA
"42686","24-8-17-6-23-5","nic","nic",NA
"42687","24-8-17-6-24-6","nic","nic",NA
"42751","19-8-21-13-45-92","nic","nic",NA
"42823","23-8-14-13-21-L10","nic","nic",NA
"42825","23-8-18-19-13-26","nic","nic",NA
"42841","19-8-18-11-29-L8","nic","nic",NA
"42854","19-8-18-12-7-L6","nic","nic",NA
"42860","19-8-18-12-13-84","nic","nic",NA
"42905","23-8-20-8-54-95","nic","nic",NA
"42913","23-8-15-12-58-L10","nic","nic",NA
"42916","19-8-22-19-24-26","nic","nic",NA
"42932","23-8-14-16-59-82","nic","nic",NA
"42941","23-8-17-16-39-L3","nic","nic",NA
"42955","19-8-18-14-11-84","nic","nic",NA
"42959","19-8-18-14-15-L7","nic","nic",NA
"43016","22-8-17-17-3-39","nic","nic",NA
"43018","23-8-18-14-15-25","nic","nic",NA
"43033","22-8-19-9-25-38","nic","nic",NA
"43074","19-8-18-17-31-84","nic","nic",NA
"43084","24-8-17-7-13-35","nic","nic",NA
"43088","19-8-18-17-44-95","nic","nic",NA
"43089","23-8-18-16-54-16","nic","nic",NA
"43099","19-8-22-10-51-27","nic","nic",NA
"43103","19-8-18-18-29-98","nic","nic",NA
"43112","19-8-18-18-35-92","nic","nic",NA
"43114","19-8-18-18-37-L5","nic","nic",NA
"43119","23-8-15-9-23-87","nic","nic",NA
"43121","23-8-15-9-24-88","nic","nic",NA
"43123","19-8-18-18-47-L1","nic","nic",NA
"43130","23-8-15-9-34-L6","nic","nic",NA
"43132","23-8-15-9-36-L10","nic","nic",NA
"43157","19-8-18-19-29-58","nic","nic",NA
"43174","23-8-18-18-34-91","nic","nic",NA
"43184","23-8-18-18-56-L4","nic","nic",NA
"43185","19-8-21-10-15-79","nic","nic",NA
"43192","19-8-21-10-24-86","nic","nic",NA
"43203","19-8-21-10-37-L6","nic","nic",NA
"43208","23-8-15-11-41-51","nic","nic",NA
"43213","19-8-21-12-0-L3","nic","nic",NA
"43227","23-8-15-12-5-64","nic","nic",NA
"43234","19-8-21-12-25-96","nic","nic",NA
"43270","23-8-15-12-45-87","nic","nic",NA
"43273","19-8-22-19-8-16","nic","nic",NA
"43288","23-8-15-14-37-4","nic","nic",NA
"43297","24-8-18-10-52-92","nic","nic",NA
"43369","19-8-23-8-56-17","nic","nic",NA
"43374","19-8-22-8-22-76","nic","nic",NA
"43400","23-8-15-16-55-78","nic","nic",NA
"43408","19-8-18-17-4-69","nic","nic",NA
"43434","22-8-18-8-13-23","nic","nic",NA
"43444","24-8-18-15-21-51","nic","nic",NA
"43446","19-8-18-17-38-90","nic","nic",NA
"43492","23-8-16-9-48-98","nic","nic",NA
"43533","19-8-21-9-50-65","nic","nic",NA
"43539","22-8-17-10-53-26","nic","nic",NA
"43544","22-8-17-11-4-32","nic","nic",NA
"43552","19-8-21-10-22-84","nic","nic",NA
"43577","22-8-17-13-23-53","nic","nic",NA
"43681","19-8-21-19-10-L7","nic","nic",NA
"43698","19-8-22-7-16-55","nic","nic",NA
"43726","19-8-22-8-15-70","nic","nic",NA
"43727","19-8-22-8-17-71","nic","nic",NA
"43772","19-8-22-9-34-L3","nic","nic",NA
"43774","19-8-22-9-48-L5","nic","nic",NA
"43783","23-8-15-17-13-92","nic","nic",NA
"43797","19-8-18-9-29-72","nic","nic",NA
"43812","22-8-18-8-29-37","nic","nic",NA
"43813","22-8-18-8-30-38","nic","nic",NA
"43815","22-8-18-8-31-39","nic","nic",NA
"43817","19-8-22-10-38-17","nic","nic",NA
"43836","24-8-18-16-11-63","nic","nic",NA
"43908","22-8-17-11-5-33","nic","nic",NA
"43921","24-8-18-7-20-14","nic","nic",NA
"43947","19-8-18-12-8-98","nic","nic",NA
"44000","19-8-22-9-14-90","nic","nic",NA
"44001","19-8-22-14-0-L6","nic","nic",NA
"44025","22-8-18-13-21-11","nic","nic",NA
"44078","22-8-18-17-34-81","nic","nic",NA
"44080","22-8-18-17-37-84","nic","nic",NA
"44085","19-8-22-9-16-18","nic","nic",NA
"44114","22-8-19-8-26-77","nic","nic",NA
"44116","22-8-19-8-30-73","nic","nic",NA
"44132","24-8-18-13-53-25","nic","nic",NA
"44135","24-8-17-0-46-67","nic","nic",NA
"44142","24-8-17-0-55-91","nic","nic",NA
"44155","23-8-18-16-26-1","nic","nic",NA
"44167","24-8-17-6-57-24","nic","nic",NA
"44210","22-8-18-17-47-92","nic","nic",NA
"44245","19-8-18-19-21-54","nic","nic",NA
"44248","19-8-22-17-7-L5","nic","nic",NA
"44255","19-8-21-9-47-L4","nic","nic",NA
"44266","19-8-21-10-7-73","nic","nic",NA
"44279","23-8-15-11-7-28","nic","nic",NA
"44294","19-8-21-10-36-96","nic","nic",NA
"44298","23-8-19-7-17-L7","nic","nic",NA
"44300","23-8-19-7-26-L10","nic","nic",NA
"44302","19-8-22-18-14-78","nic","nic",NA
"44304","23-8-20-7-18-50","nic","nic",NA
"44309","23-8-19-7-43-92","nic","nic",NA
"44310","23-8-19-7-45-94","nic","nic",NA
"44342","23-8-20-8-13-76","nic","nic",NA
"44364","19-8-22-19-10-17","nic","nic",NA
"44379","23-8-15-14-35-2","nic","nic",NA
"44381","19-8-22-19-25-28","nic","nic",NA
"44389","19-8-23-7-6-39","nic","nic",NA
"44392","19-8-23-7-10-44","nic","nic",NA
"44407","19-8-23-7-31-86","nic","nic",NA
"44413","19-8-23-7-36-91","nic","nic",NA
"44415","19-8-23-7-50-L5","nic","nic",NA
"44422","19-8-21-13-49-15","nic","nic",NA
"44434","23-8-19-7-51-89","nic","nic",NA
"44454","23-8-19-11-58-90","nic","nic",NA
"44455","23-8-19-12-3-88","nic","nic",NA
"44472","24-8-16-23-41-14","nic","nic",NA
"44497","23-8-18-14-51-L2","nic","nic",NA
"44507","24-8-17-6-21-3","nic","nic",NA
"44509","19-8-23-9-51-37","nic","nic",NA
"44520","23-8-18-16-26-2","nic","nic",NA
"44526","23-8-19-13-48-84","nic","nic",NA
"44547","19-8-23-10-15-49","nic","nic",NA
"44554","24-8-17-13-16-22","nic","nic",NA
"44557","19-8-22-18-22-84","nic","nic",NA
"44623","19-8-21-9-46-L5","nic","nic",NA
"44642","19-8-21-10-16-80","nic","nic",NA
"44648","19-8-21-10-26-88","nic","nic",NA
"44664","24-8-18-7-29-2","nic","nic",NA
"44674","23-8-20-7-22-53","nic","nic",NA
"44697","19-8-22-12-53-93","nic","nic",NA
"44725","23-8-20-8-49-90","nic","nic",NA
"44784","19-8-21-11-14-91","nic","nic",NA
"44787","19-8-21-11-17-94","nic","nic",NA
"44788","19-8-21-11-17-95","nic","nic",NA
"44869","23-8-18-15-23-L4","nic","nic",NA
"44870","23-8-18-15-22-L5","nic","nic",NA
"44883","23-8-20-14-44-74","nic","nic",NA
"44901","19-8-18-17-36-88","nic","nic",NA
"44912","19-8-21-13-30-71","nic","nic",NA
"44915","22-8-18-8-37-45","nic","nic",NA
"44917","23-8-20-15-31-94","nic","nic",NA
"44928","19-8-21-13-40-83","nic","nic",NA
"44933","24-8-18-16-12-64","nic","nic",NA
"44937","19-8-21-13-44-89","nic","nic",NA
"44943","19-8-21-13-48-98","nic","nic",NA
"44955","22-8-18-9-27-28","nic","nic",NA
"44958","24-8-18-17-17-84","nic","nic",NA
"45048","19-8-21-15-57-33","nic","nic",NA
"45059","23-8-14-8-45-4","nic","nic",NA
"45081","19-8-22-13-27-L1","nic","nic",NA
"45117","23-8-14-16-54-85","nic","nic",NA
"45121","19-8-21-17-38-72","nic","nic",NA
"45175","19-8-22-9-10-14","nic","nic",NA
"45180","19-8-22-9-19-21","nic","nic",NA
"45182","19-8-22-9-21-23","nic","nic",NA
"45186","19-8-22-9-23-25","nic","nic",NA
"45187","19-8-22-9-25-27","nic","nic",NA
"45189","19-8-22-9-26-28","nic","nic",NA
"45193","19-8-22-9-29-34","nic","nic",NA
"45197","19-8-22-9-33-38","nic","nic",NA
"45200","23-8-15-7-24-12","nic","nic",NA
"45201","23-8-15-7-22-11","nic","nic",NA
"45241","19-8-22-10-34-78","nic","nic",NA
"45250","24-8-17-6-44-16","nic","nic",NA
"45262","19-8-22-10-47-94","nic","nic",NA
"45266","23-8-19-13-56-89","nic","nic",NA
"45267","19-8-22-11-41-2","nic","nic",NA
"45269","23-8-17-9-43-26","nic","nic",NA
"45334","19-8-22-12-36-38","nic","nic",NA
"45348","19-8-17-7-45-11","nic","nic",NA
"45352","23-8-18-18-22-82","nic","nic",NA
"45360","19-8-21-9-56-67","nic","nic",NA
"45366","19-8-17-8-15-29","nic","nic",NA
"45369","23-8-18-18-54-L10","nic","nic",NA
"45370","23-8-18-18-56-L5","nic","nic",NA
"45376","19-8-21-10-22-85","nic","nic",NA
"45381","19-8-22-17-58-69","nic","nic",NA
"45383","23-8-18-19-14-28","nic","nic",NA
"45384","23-8-18-19-16-32","nic","nic",NA
"45392","19-8-21-10-39-98","nic","nic",NA
"45395","24-8-17-10-44-64","nic","nic",NA
"45397","23-8-19-7-34-L3","nic","nic",NA
"45398","23-8-15-11-42-52","nic","nic",NA
"45401","23-8-15-11-46-55","nic","nic",NA
"45403","23-8-19-7-43-95","nic","nic",NA
"45404","23-8-19-7-49-91","nic","nic",NA
"45410","23-8-19-7-57-85","nic","nic",NA
"45417","19-8-21-12-20-91","nic","nic",NA
"45418","19-8-21-12-21-92","nic","nic",NA
"45421","19-8-22-18-37-95","nic","nic",NA
"45453","23-8-15-12-43-84","nic","nic",NA
"45455","23-8-15-12-44-86","nic","nic",NA
"45460","23-8-15-12-49-90","nic","nic",NA
"45461","19-8-17-10-21-89","nic","nic",NA
"45509","19-8-23-7-48-L6","nic","nic",NA
"45510","23-8-19-10-21-26","nic","nic",NA
"45511","23-8-19-10-23-27","nic","nic",NA
"45527","19-8-23-8-29-6","nic","nic",NA
"45612","23-8-15-17-20-98","nic","nic",NA
"45694","24-8-17-18-50-L4","nic","nic",NA
"45719","19-8-21-16-46-L2","nic","nic",NA
"45762","23-8-20-7-15-48","nic","nic",NA
"45782","19-8-23-13-28-L7","nic","nic",NA
"45783","19-8-23-13-30-L8","nic","nic",NA
"45784","24-8-18-8-52-56","nic","nic",NA
"45815","23-8-20-8-28-86","nic","nic",NA
"45820","23-8-20-8-30-91","nic","nic",NA
"45832","23-8-20-9-14-L9","nic","nic",NA
"45848","23-8-20-9-52-6","nic","nic",NA
"45850","23-8-20-11-17-8","nic","nic",NA
"45936","19-8-18-7-37-L2","nic","nic",NA
"45945","19-8-22-9-13-89","nic","nic",NA
"45996","19-8-18-9-46-2","nic","nic",NA
"45997","19-8-18-9-47-3","nic","nic",NA
"46001","23-8-14-11-5-94","nic","nic",NA
"46006","23-8-20-15-25-89","nic","nic",NA
"46009","19-8-21-13-32-74","nic","nic",NA
"46046","24-8-18-17-12-79","nic","nic",NA
"46062","24-8-18-17-27-95","nic","nic",NA
"46068","24-8-18-18-13-L1","nic","nic",NA
"46154","23-8-14-15-29-25","nic","nic",NA
"46162","23-8-14-15-44-33","nic","nic",NA
"46184","23-8-14-16-17-47","nic","nic",NA
"46236","23-8-14-17-19-71","nic","nic",NA
"46237","19-8-18-14-14-L8","nic","nic",NA
"46278","23-8-15-7-12-4","nic","nic",NA
"46280","23-8-15-7-13-5","nic","nic",NA
"46281","23-8-15-7-14-6","nic","nic",NA
"46282","23-8-15-7-15-L2","nic","nic",NA
"46285","19-8-22-9-27-32","nic","nic",NA
"46299","24-8-16-23-49-17","nic","nic",NA
"46312","24-8-18-17-24-92","nic","nic",NA
"46323","23-8-15-8-5-37","nic","nic",NA
"46358","19-8-22-10-48-96","nic","nic",NA
"46385","19-8-18-18-28-L6","nic","nic",NA
"46394","19-8-18-18-36-91","nic","nic",NA
"46396","24-8-17-8-59-L8","nic","nic",NA
"46399","24-8-17-9-3-L10","nic","nic",NA
"46409","23-8-15-9-33-96","nic","nic",NA
"46412","23-8-15-9-35-98","nic","nic",NA
"46413","23-8-15-9-39-L5","nic","nic",NA
"46423","23-8-15-10-22-L2","nic","nic",NA
"46433","19-8-18-19-20-53","nic","nic",NA
"46440","19-8-21-9-33-L1","nic","nic",NA
"46446","19-8-22-17-33-57","nic","nic",NA
"46448","23-8-15-10-45-17","nic","nic",NA
"46451","23-8-15-10-49-19","nic","nic",NA
"46454","24-8-17-10-19-71","nic","nic",NA
"46455","23-8-18-18-35-92","nic","nic",NA
"46461","23-8-18-18-41-98","nic","nic",NA
"46464","19-8-17-8-23-36","nic","nic",NA
"46467","23-8-18-18-59-L2","nic","nic",NA
"46472","23-8-15-11-11-34","nic","nic",NA
"46476","19-8-21-10-29-91","nic","nic",NA
"46478","19-8-21-10-32-93","nic","nic",NA
"46483","23-8-15-11-35-46","nic","nic",NA
"46500","19-8-21-12-9-L6","nic","nic",NA
"46509","19-8-21-12-18-89","nic","nic",NA
"46514","19-8-21-12-24-95","nic","nic",NA
"46568","23-8-15-14-35-3","nic","nic",NA
"46583","23-8-15-14-48-L2","nic","nic",NA
"46671","23-8-15-16-45-72","nic","nic",NA
"46690","23-8-15-17-4-84","nic","nic",NA
"46696","23-8-15-17-8-89","nic","nic",NA
"46704","23-8-15-17-16-95","nic","nic",NA
